text,label
Your account will be suspended unless you verify your details immediately,manipulation
Urgent: Update your password now to avoid losing access,manipulation
Click this link to prevent your account from being locked,manipulation
"You have an unpaid invoice, settle it now to avoid penalties",manipulation
CEO requests immediate transfer of funds to supplier,impersonation
"Hi, I’m from IT support, please share your login to fix the issue",impersonation
"This is HR, please confirm your bank details for payroll",impersonation
"Security team detected unusual login, send your credentials for verification",impersonation
"I’ve been helping you with small tasks, now could you authorize this payment?",trust_building
"We’ve been chatting for weeks, can you share your credit card info for booking?",trust_building
"Let’s collaborate, but I’ll need your personal details for registration",trust_building
"Over time I’ve proven trustworthy, now please approve this financial request",trust_building
Here’s a long message about company policy changes with a hidden link inside,distraction
This newsletter contains multiple irrelevant topics but embeds a fake login page,distraction
Attackers sometimes add lots of unrelated content to mask a malicious request,distraction
A 3-page mail about system upgrades includes one line asking for credentials,distraction
"I’m your long-term partner, authorize this quick payment",trust_building
An email with lengthy news and a hidden phishing link at the bottom,distraction
"We’ve collaborated on multiple projects, kindly approve this expense",trust_building
"We built trust over months, now I need your account login",trust_building
A long blog-style email distracts while sneaking in a login prompt,distraction
Your IT admin requires your password for urgent troubleshooting,impersonation
Confirm your details today to avoid service disruption,manipulation
"This is your bank manager, please confirm your ATM PIN",impersonation
"This is your bank manager, please confirm your ATM PIN",impersonation
Marketing newsletter contains unrelated stories but asks for login midway,distraction
"We built trust over months, now I need your account login",trust_building
"I’m calling from customer support, I need your login credentials",impersonation
Marketing newsletter contains unrelated stories but asks for login midway,distraction
"I’m calling from customer support, I need your login credentials",impersonation
"We’ve collaborated on multiple projects, kindly approve this expense",trust_building
"After weeks of teamwork, can you confirm your bank info?",trust_building
Failure to act now will result in account suspension,manipulation
"I’m your long-term partner, authorize this quick payment",trust_building
Failure to act now will result in account suspension,manipulation
"After weeks of teamwork, can you confirm your bank info?",trust_building
Your banking session will expire unless you confirm your identity now,manipulation
"After weeks of teamwork, can you confirm your bank info?",trust_building
Failure to act now will result in account suspension,manipulation
